date,code,open,high,low,close,preclose,volume,amount
2015-11-23,sh.000300,3774.436,3802.851,3743.405,3753.335,3774.383,17562681200,234640979610.0
2015-11-24,sh.000300,3745.761,3754.169,3702.737,3753.889,3753.335,14338328300,192495095083.0
2015-11-25,sh.000300,3747.76,3781.857,3735.716,3781.607,3753.889,15194494100,215125047954.0
2015-11-26,sh.000300,3795.245,3805.844,3756.823,3759.429,3781.607,17352546800,239797205559.0
2015-11-27,sh.000300,3739.096,3742.742,3534.39,3556.992,3759.429,20893935800,269758168475.0
2015-11-30,sh.000300,3554.89,3587.97,3455.068,3566.412,3556.992,17320116300,220098287801.0
2015-12-01,sh.000300,3562.319,3617.305,3536.115,3591.696,3566.412,13653655400,176598805608.0
2015-12-02,sh.000300,3587.758,3725.854,3573.403,3721.955,3591.696,21353886500,260938692616.0
2015-12-03,sh.000300,3709.547,3758.446,3693.137,3749.299,3721.955,19776212600,236698987440.0
2015-12-04,sh.000300,3719.734,3726.124,3667.291,3677.592,3749.299,15119952200,196455597757.0
2015-12-07,sh.000300,3681.582,3699.337,3658.578,3687.607,3677.592,11388315000,161220059836.0
2015-12-08,sh.000300,3668.838,3668.838,3619.445,3623.02,3687.607,12578108300,163317229186.0
2015-12-09,sh.000300,3613.42,3655.158,3611.49,3635.938,3623.02,11332542200,154319992100.0
2015-12-10,sh.000300,3634.366,3678.318,3615.991,3623.084,3635.938,12021562500,168622188283.0
2015-12-11,sh.000300,3605.372,3630.743,3578.146,3608.059,3623.084,11032248100,145248640244.0
2015-12-14,sh.000300,3573.884,3712.503,3570.998,3711.322,3608.059,15176911900,203291513291.0
2015-12-15,sh.000300,3707.73,3717.357,3679.23,3694.388,3711.322,12648171000,186795461663.0
2015-12-16,sh.000300,3703.95,3713.09,3677.449,3685.44,3694.389,11134272300,160118243242.0
2015-12-17,sh.000300,3712.783,3768.844,3709.851,3755.888,3685.44,17792407500,242543823434.0
2015-12-18,sh.000300,3754.96,3810.218,3750.925,3767.913,3755.888,17346598000,232281458171.0
2015-12-21,sh.000300,3762.096,3877.82,3759.989,3865.965,3767.913,21743527500,289905289214.0
